r,returns,income,tax
10000000,9677,256932933000,54202568000
5000000,25512,365124928000,79958840000
2000000,91060,559595728000,127920944000
1500000,136163,637350486000,147356569000
1000000,240127,762903235000,178428993000
500000,673272,1056273099000,249768299000
200000,3021435,1733067699000,388995462000
100000,12757004,3021387310000,564200995000
75000,22876519,3893785483000,649758197000
50000,40923646,5003401638000,742713546000
40000,51495054,5476782481000,776629067000
30000,65410506,5959542782000,804842108000
25000,73922619,6193083203000,815517429000
20000,83627811,6410927761000,823412289000
15000,94909102,6608009239000,828630588000
10000,106565295,6753151612000,831122089000
5000,118700712,6844027022000,831835194000
1,130371156,6875123345000,831890269000
-Inf,132226042,6788805130000,831976333000
